Date,Product Name,City,Quantity Sold,Price,Revenue,Day of Week,Month,Season,Customer Name,Phonenumber
2024-01-01,Antacids,Kanchipuram,8,9.04944118743919,72.39552949951351,Monday,January,Winter,Nisha,+91-8247688167
2024-08-01,Paracetamol,Chennai,6,16.88549650721017,101.31297904326102,Thursday,August,Monsoon,Nisha,+91-7943035023
2024-09-01,Ibuprofen,Kanchipuram,4,13.898711072260246,55.594844289040985,Sunday,September,Autumn,Nisha,+91-7199047327
2024-03-01,Paracetamol,Tirunelveli,5,12.735074444441665,63.675372222208324,Friday,March,Spring,Nisha,+91-9841498117
2024-10-01,Ibuprofen,Kanchipuram,7,13.742119522745028,96.1948366592152,Tuesday,October,Autumn,Nisha,+91-9203594464
2024-05-01,Antacids,Erode,5,5.81254044825586,29.0627022412793,Wednesday,May,Spring,Nisha,+91-7375501593
2024-01-01,Paracetamol,Chennai,3,13.799532985879999,41.39859895764,Monday,January,Winter,Nisha,+91-7320759027
2024-12-01,Aspirin,Coimbatore,3,17.729041895799313,53.18712568739794,Sunday,December,Winter,Nisha,+91-9323412914
2024-11-01,Antacids,Vellore,3,3.5041593856834514,10.512478157050355,Friday,November,Autumn,Nisha,+91-7606338882
2024-04-01,Aspirin,Tirunelveli,9,15.366027183435778,138.294244650922,Monday,April,Spring,Nisha,+91-7284304369
2024-12-01,Paracetamol,Tirunelveli,9,6.951148306973068,62.56033476275761,Sunday,December,Winter,Nisha,+91-9909653180
2024-05-01,Antacids,Coimbatore,7,6.729921516816438,47.10945061771506,Wednesday,May,Spring,Nisha,+91-8788928669
2024-02-01,Vitamins,Vellore,9,9.196950273245506,82.77255245920955,Thursday,February,Winter,Nisha,+91-9636570846
2024-12-01,Vitamins,Vellore,3,10.657993522998927,31.97398056899678,Sunday,December,Winter,Nisha,+91-8753453379
2024-10-01,Ibuprofen,Thanjavur,4,8.981432026021603,35.92572810408641,Tuesday,October,Autumn,Nisha,+91-9397751228
2024-06-01,Paracetamol,Erode,1,16.080256363790994,16.080256363790994,Saturday,June,Monsoon,Yogesh,+91-8508110388
2024-05-01,Vitamins,Tirunelveli,4,12.665353163352023,50.66141265340809,Wednesday,May,Spring,Yogesh,+91-9112142555
2024-03-01,Antacids,Tiruchirappalli,8,2.6206157513153108,20.964926010522486,Friday,March,Spring,Yogesh,+91-9167231959
2024-10-01,Aspirin,Tirunelveli,2,19.816440000537384,39.63288000107477,Tuesday,October,Autumn,Yogesh,+91-7604843388
2024-12-01,Antacids,Thanjavur,1,17.58036245350051,17.58036245350051,Sunday,December,Winter,Yogesh,+91-8184704906
2024-05-01,Aspirin,Erode,7,1.4875916430361,10.4131415012527,Wednesday,May,Spring,Yogesh,+91-7508547413
2024-04-01,Ibuprofen,Salem,6,4.892449481428469,29.354696888570814,Monday,April,Spring,Yogesh,+91-9572716500
2024-11-01,Vitamins,Kanchipuram,2,5.5757468183934895,11.151493636786979,Friday,November,Autumn,Yogesh,+91-7966788708
2024-07-01,Paracetamol,Coimbatore,9,12.028495606574472,108.25646045917024,Monday,July,Monsoon,Yogesh,+91-8749208278
2024-05-01,Vitamins,Chennai,8,17.611471365873992,140.89177092699194,Wednesday,May,Spring,Yogesh,+91-8415971357
2024-04-01,Ibuprofen,Chennai,7,8.003107516462734,56.02175261523914,Monday,April,Spring,Yogesh,+91-7414503144
2024-01-01,Paracetamol,Vellore,5,6.734786642622815,33.673933213114076,Monday,January,Winter,Prakash,+91-7332121341
2024-02-01,Paracetamol,Thanjavur,9,5.661976987204051,50.95779288483646,Thursday,February,Winter,Prakash,+91-8632981408
2024-04-01,Ibuprofen,Tiruchirappalli,6,10.96725979434211,65.80355876605266,Monday,April,Spring,Prakash,+91-8864735364
2024-08-01,Antacids,Tirunelveli,6,13.945823452837978,83.67494071702787,Thursday,August,Monsoon,Prakash,+91-9937558083
2024-07-01,Ibuprofen,Kanchipuram,3,9.920467755629627,29.76140326688888,Monday,July,Monsoon,Prakash,+91-7303619294
2024-10-01,Antacids,Chennai,4,11.245248350861301,44.980993403445204,Tuesday,October,Autumn,Prakash,+91-8974941272
2024-04-01,Ibuprofen,Thanjavur,7,18.176843465118196,127.23790425582737,Monday,April,Spring,Prakash,+91-9360807659
2024-07-01,Antacids,Salem,8,17.39742971654665,139.1794377323732,Monday,July,Monsoon,Prakash,+91-8225642210
2024-10-01,Paracetamol,Salem,9,7.7520081209666625,69.76807308869996,Tuesday,October,Autumn,Prakash,+91-9088105823
2024-06-01,Antacids,Kanchipuram,9,2.6441173137883727,23.797055824095352,Saturday,June,Monsoon,Prakash,+91-9362655946
2024-06-01,Antacids,Chennai,4,3.1942016456362134,12.776806582544854,Saturday,June,Monsoon,Prakash,+91-9895560975
