Date,Product Name,City,Quantity Sold,Price,Revenue,Day of Week,Month,Season,Customer Name,Phonenumber,Is_Regular
2024-02-17,Paracetamol,Kanchipuram,4,17.097783036898385,68.39113214759354,Saturday,February,Winter,Yogesh,00009214860,False
2024-10-04,Aspirin,Erode,8,17.943687014859517,143.54949611887614,Friday,October,Autumn,Ganesh,1225860553,False
2024-11-10,Ibuprofen,Madurai,8,11.049003475305184,88.39202780244148,Sunday,November,Autumn,Eswari,2787844988,False
2024-12-03,Ibuprofen,Vellore,5,1.3841495513661886,6.920747756830943,Tuesday,December,Winter,Eswari,03726041211,False
2024-07-16,Paracetamol,Salem,4,16.18401272011775,64.736050880471,Tuesday,July,Monsoon,Elango,+918327763977,False
2024-10-12,Antacids,Kanchipuram,8,13.158499405222953,105.26799524178362,Saturday,October,Autumn,Elango,08962861876,False
2024-07-04,Paracetamol,Erode,8,6.026556629987913,48.2124530399033,Thursday,July,Monsoon,Vijay,03881108754,False
2024-01-10,Vitamins,Salem,1,1.3570062082907477,1.3570062082907477,Tuesday,July,Monsoon,Ishwarya,08556260149,True
2024-02-08,Paracetamol,Erode,2,18.93121349177786,37.86242698355572,Thursday,February,Winter,Lalitha,1086134322,True
2024-02-12,Aspirin,Vellore,2,14.254992722618033,28.509985445236065,Monday,February,Winter,Chandran,6410840789,False
2024-02-27,Antacids,Madurai,8,4.247282117584858,33.97825694067886,Tuesday,February,Winter,Chandran,2329205718,False
2024-04-01,Paracetamol,Kanchipuram,6,7.175897351158697,43.05538410695218,Monday,April,Spring,Rani,0696166706,False
2024-03-25,Antacids,Erode,7,2.9388514042125333,20.57195982948773,Monday,March,Spring,Suresh,+915454185315,False
2024-05-11,Vitamins,Erode,5,5.81254044825586,29.0627022412793,Saturday,May,Spring,Rukmini,+914564697826,False
2024-05-28,Antacids,Thanjavur,6,13.470262199840196,80.82157319904118,Tuesday,May,Spring,Ajay,+910901753654,False
2024-03-10,Ibuprofen,Kanchipuram,1,13.588010472050842,13.588010472050842,Sunday,March,Spring,Satish,08962141987,False
2024-09-13,Ibuprofen,Salem,5,2.8258697499852983,14.129348749926491,Friday,September,Autumn,Nisha,4603185508,False
2024-04-08,Aspirin,Tirunelveli,8,9.572025075897635,76.57620060718108,Monday,April,Spring,Harish,+911474990286,False
2024-02-13,Aspirin,Thanjavur,3,14.084562473309637,42.25368741992891,Tuesday,February,Winter,Shankar,02858190053,False
2024-08-10,Antacids,Kanchipuram,3,11.738588465492631,35.21576539647789,Saturday,August,Monsoon,Hari,05132637327,False
2024-07-28,Aspirin,Coimbatore,2,2.5791373599814453,5.158274719962891,Sunday,July,Monsoon,Thavapalan,07276439173,False
